evidence_id,source_id,target_type,target_id,field_or_relation,status,confidence,reviewer
evidence-a20-cable-compact,source-northstar-prototype,variant,a20-cable-compact,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a22-cable-pro,source-northstar-prototype,variant,a22-cable-pro,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a24-jammer-arms,source-northstar-prototype,variant,a24-jammer-arms,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a26-pullup-multi,source-northstar-prototype,variant,a26-pullup-multi,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a28-stabiliser,source-northstar-prototype,variant,a28-stabiliser,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a30-interface-adapter,source-northstar-prototype,variant,a30-interface-adapter,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-b10-flat-bench-entry,source-northstar-prototype,variant,b10-flat-bench-entry,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-b20-adjustable-bench-standard,source-northstar-prototype,variant,b20-adjustable-bench-standard,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-b30-adjustable-bench-premium,source-northstar-prototype,variant,b30-adjustable-bench-premium,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-c10-rower-standard,source-northstar-prototype,variant,c10-rower-standard,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-c20-bike-compact,source-northstar-prototype,variant,c20-bike-compact,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-c30-stepper-compact,source-northstar-prototype,variant,c30-stepper-compact,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-w10-barbell-general,source-northstar-prototype,variant,w10-barbell-general,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-w20-barbell-power,source-northstar-prototype,variant,w20-barbell-power,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-p100-plate-pack-starter,source-northstar-prototype,variant,p100-plate-pack-starter,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-p150-plate-pack-standard,source-northstar-prototype,variant,p150-plate-pack-standard,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-p200-plate-pack-heavy,source-northstar-prototype,variant,p200-plate-pack-heavy,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-d10-adjustable-dumbbells,source-northstar-prototype,variant,d10-adjustable-dumbbells,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-d20-fixed-dumbbell-set,source-northstar-prototype,variant,d20-fixed-dumbbell-set,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-k10-kettlebell-set,source-northstar-prototype,variant,k10-kettlebell-set,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-x10-band-kit,source-northstar-prototype,variant,x10-band-kit,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-m10-training-mat,source-northstar-prototype,variant,m10-training-mat,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-f10-flooring-general,source-northstar-prototype,variant,f10-flooring-general,customer_critical_specification,assumption,medium,Northstar research-led prototype
evidence-f20-flooring-impact,source-northstar-prototype,variant,f20-flooring-impact,customer_critical_specification,assumption,medium,Northstar research-led prototype
evidence-st10-storage-vertical,source-northstar-prototype,variant,st10-storage-vertical,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-st20-storage-horizontal,source-northstar-prototype,variant,st20-storage-horizontal,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-rel-h30-dip,source-northstar-prototype,relationship,rel-h30-dip,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-s10-squat-stand-entry-jhooks,source-northstar-prototype,relationship,rel-s10-squat-stand-entry-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-s20-squat-stand-standard-jhooks,source-northstar-prototype,relationship,rel-s20-squat-stand-standard-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h30-half-rack-entry-jhooks,source-northstar-prototype,relationship,rel-h30-half-rack-entry-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h40-half-rack-pro-jhooks,source-northstar-prototype,relationship,rel-h40-half-rack-pro-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p40-power-rack-compact-jhooks,source-northstar-prototype,relationship,rel-p40-power-rack-compact-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p50-power-rack-standard-jhooks,source-northstar-prototype,relationship,rel-p50-power-rack-standard-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p60-power-rack-premium-jhooks,source-northstar-prototype,relationship,rel-p60-power-rack-premium-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-f20-folding-rack-compact-jhooks,source-northstar-prototype,relationship,rel-f20-folding-rack-compact-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-f30-folding-rack-pro-jhooks,source-northstar-prototype,relationship,rel-f30-folding-rack-pro-jhooks,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h30-half-rack-entry-rings,source-northstar-prototype,relationship,rel-h30-half-rack-entry-rings,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h40-half-rack-pro-rings,source-northstar-prototype,relationship,rel-h40-half-rack-pro-rings,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p40-power-rack-compact-rings,source-northstar-prototype,relationship,rel-p40-power-rack-compact-rings,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p50-power-rack-standard-rings,source-northstar-prototype,relationship,rel-p50-power-rack-standard-rings,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-f30-folding-rack-pro-rings,source-northstar-prototype,relationship,rel-f30-folding-rack-pro-rings,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h30-spotter,source-northstar-prototype,relationship,rel-h30-spotter,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h40-half-rack-pro-spotter,source-northstar-prototype,relationship,rel-h40-half-rack-pro-spotter,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p40-power-rack-compact-spotter,source-northstar-prototype,relationship,rel-p40-power-rack-compact-spotter,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p50-power-rack-standard-spotter,source-northstar-prototype,relationship,rel-p50-power-rack-standard-spotter,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-f20-folding-rack-compact-spotter,source-northstar-prototype,relationship,rel-f20-folding-rack-compact-spotter,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-f30-folding-rack-pro-spotter,source-northstar-prototype,relationship,rel-f30-folding-rack-pro-spotter,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h40-dip,source-northstar-prototype,relationship,rel-h40-dip,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h30-cable,source-northstar-prototype,relationship,rel-h30-cable,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h40-cable,source-northstar-prototype,relationship,rel-h40-cable,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p40-dip,source-northstar-prototype,relationship,rel-p40-dip,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p50-dip,source-northstar-prototype,relationship,rel-p50-dip,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p50-jammer,source-northstar-prototype,relationship,rel-p50-jammer,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p60-cable-g2,source-northstar-prototype,relationship,rel-p60-cable-g2,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p60-cable-g3,source-northstar-prototype,relationship,rel-p60-cable-g3,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-s10-straps,source-northstar-prototype,relationship,rel-s10-straps,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-f20-storage,source-northstar-prototype,relationship,rel-f20-storage,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-s20-dip-adapter,source-northstar-prototype,relationship,rel-s20-dip-adapter,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-h30-jammer-depth,source-northstar-prototype,relationship,rel-h30-jammer-depth,compatibility_approval,verified,high,Northstar research-led prototype
evidence-rel-p40-pullup,source-northstar-prototype,relationship,rel-p40-pullup,compatibility_approval,verified,high,Northstar research-led prototype
